org,repo_name,num_commits,health_score
BSaini25,HandwritingNet,48,0.01
BTS-Interns-2019,internship_nodeJS,72,0.01
Babblesort,js-pairing-exercises,72,0.01
Badrpas,LD45-server,96,0.01
BattlerockStudios,LD45,72,0.01
BayviewComputerClub,smoothie-runner,48,0.01
Beck-Haywood,Herd-Immunity_Simulation,72,0.01
Bestande,ethz-summary-of-credits,72,0.01
Bhavya6187,reports,72,0.01
BigBrainAFK,node-wooting-analog-wrapper,72,0.01
Binary-Wrench,github-slideshow,48,0.01
BinayaS,ComS321Assingment-1,48,0.01
Birinder1469,BirinderSingh_Blog,48,0.01
Bishnu82,mySQL-instructions,48,0.01
BitterDone,ReactNative,48,0.01
Blackwidowsari,Hello-World-Maven,96,0.01
BlakeBoxberger,LastLocked,72,0.01
BlissTechInc,krebel,48,0.01
BlockScope,blockscope,72,0.01
Blockmodo,coin_registry,72,0.01
BlueWallet,BlueWallet,48,0.01
BlythePollard,learn-co-sandbox,48,0.01
Boivin92,ludum45,72,0.01
Bolbot,CPP_server,72,0.01
Bombix34,LudumDare45,72,0.01
BondWong,barrier,120,0.01
BondarenkoArtur,LD45-client,72,0.01
BowenYin,harker-bell,48,0.01
Brajagopaldas,triviabot,48,0.01
BrianAllison-kruel,brianallison-kruel.github.io,48,0.01
BrijPatel15,ML_Adventures,96,0.01
Bronha1,bronha.ml,72,0.01
BrunoPaviani,projeto-integrador,72,0.01
Bryand700,Restaurante,72,0.01
Bstill8,my-first,48,0.01
CACProjectS,ProjectS,96,0.01
CELopez,CELopez.github.io,48,0.01
CESA-WEB-DEV,CESA-home-page,72,0.01
CGrimes8400,CGrimes8400.github.io,48,0.01
CHDKUtil,CHIMP,120,0.01
CPSC-331-F19,Assignments,48,0.01
CS-27,SER517Fall2019_Group3,72,0.01
CS1666,Team-1,120,0.01
CS2-Fall2019,Candy-Land,72,0.01
CU-DSI-Scholars,DSI-scholars,72,0.01
CU-DSI-Scholars,site-source,72,0.01
CYB3RMX,Nscript,48,0.01
Calinou,free-blue-noise-textures,48,0.01
Calistu,Projeto_FatecNews,120,0.01
Captain-Blackstone,Python-courses-Bioinsormatics-Institute-,48,0.01
CarlosAsrc,LabRedesT1,96,0.01
CarolineNakazato,Xadrez,48,0.01
Caroll1889,holbertonschool-higher_level_programming,72,0.01
CarsonAurum,LearnC,72,0.01
Catherinexing,Greenland,96,0.01
CenWIDev,app-cwitc,48,0.01
Centre-for-Cancer-Outcomes,NCPES-Dashboard,72,0.01
ChaelCodes,HuntersKeepers,72,0.01
ChaiUrs,LHL_FINAL_OCT2019,72,0.01
ChapmanCarin,floodBackEnd,48,0.01
CharlesFee,CS-385-code,48,0.01
CharliGithub,whatsmatter,72,0.01
ChickenKyiv,meal-form-component,48,0.01
Chiphyr,amddude.cf,96,0.01
ChocolateTan,Collector,96,0.01
ChrisBrownie55,mini-debounce,48,0.01
ChrisBrownie55,mui-phone-input,48,0.01
ChrisInc2,User-Interface,72,0.01
Chrispolanco,nightskytracker,120,0.01
ChronoDS,daniel-shema-24-09-19,48,0.01
CitrusGender,tgstation,72,0.01
Cl3arglass,insertion-sort-lab-v-000,48,0.01
ClamSageCaleb,UNCC-SIX-MANS,48,0.01
Clauvin,Quarter_Circle_Forward_PUNCH_Mod,72,0.01
ClipboardProject,ClipboardApp,48,0.01
CobaltWolf,Bluedog-Design-Bureau,48,0.01
CocoaPods,Specs,48,0.01
CodaProtocol,coda,48,0.01
Codeuctivity,mencoder-sharp,48,0.01
Cogentx,cogentx-giflist-app,48,0.01
ColonolNutty,Sims4CommunityLibrary,48,0.01
ConnorSkees,ski,72,0.01
ContextMapper,context-mapper-standalone-example,96,0.01
ContributorCovenant,ethicalsource,120,0.01
Coolpreye,prof-portfolio,72,0.01
CoreDumped-ETSISI,mamuthack-1-front,48,0.01
Cracroule,proverbes_chinois,96,0.01
CryTime,QuestionnaireAutoEcole,48,0.01
D3S0X,Soundboard,72,0.01
DBC-Works,working-time-around,48,0.01
DDDEastMidlandsLimited,dddem-blog,48,0.01
DEploid-dev,DEploid,48,0.01
DH-Diego,DH-Diego.github.io,48,0.01
DIS-SIN,Evalhalla,48,0.01
DVC-Viking-Robotics,webapp,48,0.01
Dagothig,siamese-cashier,48,0.01
Damhan,vancipitation,48,0.01
DamienTehDemon,Portfolio,96,0.01
Dan-Nolan,JS-Tutorials,48,0.01
Danco93,TreehouseProject2,48,0.01
Daniel2242014,DataConfiguracionABMusuariosSO,72,0.01
DanielAntunes97,loja,120,0.01
DanielGardiner,DanielGardiner.github.io,72,0.01
DanielIrons,Chillenium2019,48,0.01
DashingStrike,Automato-ATITD9,48,0.01
DataDog,integrations-core,96,0.01
DaveVoorhis,Relang,72,0.01
David-Desmaisons,ComponentFixture,48,0.01
David-Durst,embeddedHaskellAetherling,48,0.01
DavineChi,_Fall2019,48,0.01
DeFreitas-Samuel,Red_Social,48,0.01
Deepwalker,trafaret,48,0.01
DeliriumProducts,aumo,48,0.01
DelveFonts,Overpass,48,0.01
DenDen047,hydra-tutorial,72,0.01
Dendroidal,EqDendSetsOps,48,0.01
DenilsonNazario,calculadora-angular,96,0.01
DevinKott,security-touch,72,0.01
Dhabbah,WebMobile,72,0.01
DiLadyDi,Diana_web_cite,48,0.01
DiamondTop,SQLalchemyhw,48,0.01
Didstopia,SDL_image,96,0.01
Didstopia,SDL_net,96,0.01
Didstopia,SDL_ttf,48,0.01
DiegoMelo520,ObligatorioP2,48,0.01
DiffSharp,DiffSharp,48,0.01
Dingdash,discord-dan,72,0.01
Diode222,Odin,72,0.01
Diptoman,LD45,96,0.01
DmGamesCWB,ld45,48,0.01
DoodleIbu,doodleibu.github.io,96,0.01
DoodleIbu,mta-whr,48,0.01
DorothyTruong,DorothyTruong.github.io,72,0.01
DrLennon666,courses,48,0.01
DrSnips,vgstation13,48,0.01
Drag49487Jr,Poki-Battle,48,0.01
DrakeW,splunk-sdk-python,48,0.01
Driedplum,CloudManager,96,0.01
DrumSlayers,drumslayers.github.io,72,0.01
Drumev00,Databases-Basics-MS-SQL-Server,48,0.01
DuckieTV,Nightlies,48,0.01
Duranzno,PanaDoc,48,0.01
Dusteen99,05-Space-shooter,48,0.01
Dylan-Gardner,Lab1-Senior-Design,72,0.01
DzunN86,first-contributions,48,0.01
EQEmu,docs-db-schema,72,0.01
EarthMCBE,Lode.Api,48,0.01
EastLee,lerna-test,96,0.01
EasyTOI,easytoi.github.io,72,0.01
Easybuoy,ezekielekunola.dev,96,0.01
EduardoGHdez,vpr,48,0.01
EgyptianTourist,Math-Chapter-CP3-book,48,0.01
EikeSan,saltyGacha,72,0.01
Eiraheta115,ec_cfp,48,0.01
ElAdrixHD,carina-bot,48,0.01
EmanoelV,Crazy-Snake,48,0.01
EmilGrigoryan,2019-2-Atom-Frontend-E-Grigoryan,48,0.01
EnAppelsin,SHARCarRandomiser,72,0.01
EnJavy,start,48,0.01
Endogen,Telegram-Bauer-Bot,48,0.01
EnigmaDragons,LDJAM45,96,0.01
Enzocollado1996,ladatamza,72,0.01
EricVincitore,Basic-Portfolio,72,0.01
Erica97,Erica97.github.io,72,0.01
ErwanMAS,tuya-convert,48,0.01
Eslamanwar,name-contests,96,0.01
Estafet-LTD,estafet-microservices-scrum-basic-ui,72,0.01
EternalMage,TP1,48,0.01
EthanRowlette,cv,120,0.01
FAETHER,Uni-Labs,48,0.01
FPorucznik,FPorucznik.github.io,96,0.01
FTC12457,SkyStone,48,0.01
Fajar-ID,Tools-Webdav,120,0.01
FaridManafov,HTMLPortfolio,48,0.01
FaridaOS,svm_training,96,0.01
FarmerShawn,ImprovingDesign,48,0.01
FasterXML,jackson-datatype-joda,96,0.01
Fe1ix789,Boeing_737-Tableau-Project,72,0.01
FelipeMolinari,Curso-WEB-com-javascript,48,0.01
Fernal73,LearnJava,96,0.01
FernandezF91,RedAgro-ProjectoFinal,48,0.01
FernandoSLuz,olivetti-nodejs,48,0.01
Firemogle,HAMaster,48,0.01
Flowminder,FlowKit-benchmarks,48,0.01
FluidSynth,fluidsynth,72,0.01
Francisomondi,simpleBookmarkAPI,96,0.01
GInxh,GInxh.github.io,48,0.01
GL7526,python-variables-readme-data-science-intro-000,120,0.01
GLukeM-H,Demos,96,0.01
GTAmodding,re3,48,0.01
GUTL,zeal,72,0.01
GabrielBarbosaGV,if701,48,0.01
GabrielCamargoL,Projeto,48,0.01
GabrielManhaes,inf1301,96,0.01
Gabrielkoyamao,jenkins,120,0.01
Galatolol,tmp,72,0.01
GaneshaShiisa,test-project,120,0.01
GeekON-School,vk-bot,72,0.01
GenMaker,scraping-reading-online-web-sp-000,96,0.01
Genometric,ToolVisibilityQuantifier,72,0.01
GeorgiaCyber,kinetic,120,0.01
Giganton0,YoutubeDownloader,48,0.01
GlassBeardTeam,GoodProductSorter,48,0.01
Gliby,physics,72,0.01
Gostatistics,R-Template,120,0.01
GouKit,STLGameJam,48,0.01
Gravehaus,friendfinder,120,0.01
GretaCB,mimi,48,0.01
Grinshpon,Bare-Bones,48,0.01
GroceriStar,groceristar-fetch,48,0.01
GrupoJackTorrance,TpProgramacion,48,0.01
Guiliang,sport-analytic-variational-embedding,48,0.01
Guille0197,Painting,48,0.01
GurjeetKaurJhass,ChippyAssignment,48,0.01
Gustavo-V-F,RTOS_11,48,0.01
GustavoGB,Processador-Relogio,72,0.01
H00001,h00001.github.io,48,0.01
H4wki,SyntaxrBot,48,0.01
HELVE,HELVELOGS,48,0.01
HEP-KBFI,tth-htt,72,0.01
HLPugs,HLPugs.tf,72,0.01
HaQadosch,devto_reasonML,48,0.01
HackGT,bolt,48,0.01
HackatonTeam-CoreDumped,CarlosIdeaAgain,48,0.01
Hajime-san,tetris,48,0.01
Ham4690,portfolio,48,0.01
Haotian9850,internet-scale-app,48,0.01
HaraHeique,TPA-trab2-ordenacao,48,0.01
Harium,v4l2-ctl-java,48,0.01
Hatfun,trocalculator,48,0.01
Hejmej,GoldenHack2019,72,0.01
HelixBot,lxqt-panel,120,0.01
Helliaca,MC_fieldbuilder,48,0.01
HelpfulScripts,hsDatab,48,0.01
HelpfulScripts,hsDocs,48,0.01
HelpfulScripts,hsExcel,48,0.01
HelpfulScripts,hsGraph,48,0.01
HelpfulScripts,hsGraphD3,48,0.01
HelpfulScripts,hsHomeSec,48,0.01
HelpfulScripts,hsLayout,48,0.01
HelpfulScripts,hsUtil,48,0.01
HelpfulScripts,hsWidget,48,0.01
HenriqueNDA,PIMpizzaria,48,0.01
HerouFenix,CSLP,48,0.01
HielkeMinecraft,OpenNoteBlockStudio,48,0.01
HikingCarrot7,C-CPP,72,0.01
HippieStation,slimbus,48,0.01
HistoireaParis,HistoireaParis.github.io,48,0.01
HmmamBabiKhouja,Aleppo,48,0.01
HuBandiT,rqrcode,48,0.01
Huangerbai,Huangerbai.github.io,48,0.01
Hussein-A,Arithmetic-Test,48,0.01
HuydDo,sinatra-online-game,72,0.01
HyDevelop,VeracrossAnalyzer.Client,96,0.01
HydraCG,Heracles.ts,48,0.01
IAD-ZHDK,IR_tracking,72,0.01
IBM,adversarial-robustness-toolbox,48,0.01
IDSUCLA,day,72,0.01
IIMiketoII,TeamSomethingBetter,72,0.01
IMASau,geoserver-config-rls,48,0.01
