org,repo_name,health_score,num_commits,max_num_commits,commit_count_metric,avg_opened_duration,min_opened_duration,opened_issued_metric,avg_merged_duration,min_merged_duration,merged_pr_metric,ratio,max_ratio,commit_developer_metric
cmderdev,cmder,0.27,,,,2453000,663000,0.27028129,,,,,,
jumbojett,OpenID-Connect-PHP,0.27,,,,2447000,663000,0.270944,,,,,,
vkrbt,pinch-to-zoom,0.27,,,,2425000,663000,0.27340207,,,,,,
Terasology,MetalRenegades,0.27,1,40344,2.4786834E-5,2422000,663000,0.2737407,,,,1.0,40344.0,2.4786834E-5
wairnen,intro-html,0.27,,,,2413000,663000,0.2747617,,,,,,
ethereum,solidity,0.26,11,40344,2.7265516E-4,2519250,663000,0.26317355,37780500,0,0.0,2.75,40344.0,6.816379E-5
ros-planning,panda_moveit_config,0.26,,,,2553000,663000,0.2596945,,,,,,
xingyizhou,CenterNet,0.26,,,,2588000,663000,0.25618237,,,,,,
khval,AmosKittens,0.26,6,40344,1.48721E-4,2526000,663000,0.2624703,,,,6.0,40344.0,1.48721E-4
ember-cli,ember-cli,0.26,5,40344,1.2393417E-4,2583000,663000,0.25667828,39436000,0,0.0,1.6666666,40344.0,4.131139E-5
TH3xACE,SUDO_KILLER,0.26,1,40344,2.4786834E-5,2528000,663000,0.26226267,9989000,0,0.0,1.0,40344.0,2.4786834E-5
AgoraIO-Community,Agora-RN-Quickstart,0.26,,,,2584000,663000,0.25657895,,,,,,
bitsensor,elastalert,0.26,,,,2505000,663000,0.26467067,,,,,,
Synairgis,childticketmanager,0.26,,,,2587000,663000,0.2562814,,,,,,
KSP-KOS,KOS,0.26,,,,2581000,663000,0.25687718,,,,,,
HNeukermans,ng2-signalr,0.26,,,,2549000,663000,0.260102,,,,,,
autotester-one,integration-tests-67946,0.26,,,,2560000,663000,0.2589844,,,,,,
simonsdave,dev-env,0.26,,,,2521000,663000,0.26299086,,,,,,
PHI-base,curation,0.26,,,,2547000,663000,0.26030624,,,,,,
zotero,scaffold,0.26,,,,2530000,663000,0.26205534,,,,,,
ethereum,devp2p,0.25,4,40344,9.9147335E-5,2619000,663000,0.25315005,2279000,0,0.0,4.0,40344.0,9.9147335E-5
linkedin,goavro,0.25,,,,2666000,663000,0.24868718,,,,,,
eclipse-ee4j,common-annotations-api,0.25,,,,2682000,663000,0.24720357,,,,,,
joric,io_scene_b3d,0.25,,,,2680000,663000,0.24738806,,,,,,
linucksrox,ReminderList,0.25,1,40344,2.4786834E-5,2678000,663000,0.24757281,,,,1.0,40344.0,2.4786834E-5
SciTools,iris,0.25,,,,2676000,663000,0.24775785,,,,,,
lherman-cs,tensorflow-aarch64,0.25,,,,2667000,663000,0.24859393,,,,,,
omnifaces,optimusfaces,0.25,,,,2655000,663000,0.24971752,,,,,,
python,typeshed,0.25,,,,2645000,663000,0.2506616,,,,,,
ivancas84,fines2-info,0.25,,,,2634000,663000,0.25170842,,,,,,
lambdal,lambda-deep-learning-demo,0.25,,,,2627000,663000,0.25237915,,,,,,
adamchainz,treepoem,0.25,,,,2627000,663000,0.25237915,,,,,,
Luolc,leetcode-program,0.25,1,40344,2.4786834E-5,2622000,663000,0.2528604,,,,1.0,40344.0,2.4786834E-5
ctrlcctrlv,kjv1611,0.25,,,,2617000,663000,0.25334352,,,,,,
michalmuskala,persistent_ets,0.25,,,,2614000,663000,0.25363427,,,,,,
bitnami,bitnami-docker-testlink,0.24,1,40344,2.4786834E-5,2747000,663000,0.2413542,,,,1.0,40344.0,2.4786834E-5
espocrm,espocrm,0.24,2,40344,4.9573668E-5,2776000,663000,0.23883285,,,,2.0,40344.0,4.9573668E-5
kubernetes-sigs,kubebuilder,0.24,1,40344,2.4786834E-5,2709000,663000,0.24473976,,,,1.0,40344.0,2.4786834E-5
elastic,apm-agent-go,0.24,1,40344,2.4786834E-5,2749000,663000,0.24117862,62350000,0,0.0,1.0,40344.0,2.4786834E-5
formatjs,react-intl,0.24,4,40344,9.9147335E-5,2820000,663000,0.23510638,,,,4.0,40344.0,9.9147335E-5
xgqfrms,netlify,0.24,5,40344,1.2393417E-4,2814000,663000,0.23560767,,,,5.0,40344.0,1.2393417E-4
AlekseyBusarev,docker-tools,0.24,,,,2799200,663000,0.23685339,,,,,,
rodarima,cpic,0.24,2,40344,4.9573668E-5,2822000,663000,0.23493975,,,,2.0,40344.0,4.9573668E-5
