org,repo_name,health_score,num_commits,max_num_commits,commit_count_metric,avg_opened_duration,min_opened_duration,opened_issued_metric,avg_merged_duration,min_merged_duration,merged_pr_metric,ratio,max_ratio,commit_developer_metric
Jumbochildrens,Jumbochildrens,0.19,,,,3496000,663000,0.1896453,,,,,,
preschoolrhymes,Preschoolrhymes,0.19,,,,3491000,663000,0.18991692,,,,,,
Numbersongz,Number-songs,0.19,,,,3490000,663000,0.18997134,,,,,,
aamini,introtodeeplearning_labs,0.19,,,,3484000,663000,0.19029851,,,,,,
Kidstrendingcolors,Kidstrendingcolors,0.19,,,,3471000,663000,0.19101124,,,,,,
rhymesfortoddlerz,rhymesfortoddlers,0.19,,,,3464000,663000,0.19139723,,,,,,
autotester-one,integration-tests-33941,0.19,,,,3460000,663000,0.1916185,,,,,,
aholmn,exlisp,0.19,1,40344,2.4786834E-5,3457000,663000,0.19178478,,,,1.0,40344.0,2.4786834E-5
ros-infrastructure,ros_buildfarm,0.19,,,,3456000,663000,0.19184028,,,,,,
learningkidscolors,Learning-Kids-Colors,0.19,,,,3456000,663000,0.19184028,,,,,,
Enjoykids,Enjoykids,0.19,,,,3434000,663000,0.19306931,,,,,,
tiredofit,docker-freepbx,0.19,,,,3432000,663000,0.19318181,,,,,,
gridsome,gridsome,0.19,,,,3429000,663000,0.19335084,,,,,,
bipropellant,bipropellant-hoverboard-firmware,0.19,,,,3417000,663000,0.19402985,,,,,,
hmfaysal,hmfaysal-omega-theme,0.19,,,,3415000,663000,0.19414349,,,,,,
voghDev,PdfViewPager,0.19,,,,3412000,663000,0.19431418,,,,,,
HaxeFoundation,haxe,0.18,10,40344,2.4786833E-4,3605500,663000,0.18388572,10105000,0,0.0,2.0,40344.0,4.9573668E-5
taki0112,UGATIT,0.18,,,,3597000,663000,0.18432027,,,,,,
kylemanna,docker-openvpn,0.18,,,,3625000,663000,0.18289655,,,,,,
PierfrancescoSoffritti,android-youtube-player,0.18,,,,3595000,663000,0.1844228,,,,,,
Herohtar,netlify-cms-oauth-firebase,0.18,,,,3594000,663000,0.18447413,,,,,,
lightbend,genjavadoc,0.18,,,,3588000,663000,0.18478261,,,,,,
edwinvdpol,com.foscam,0.18,,,,3585000,663000,0.18493724,,,,,,
konsolas,AAC-Issues,0.17,4,40344,9.9147335E-5,3802400,663000,0.17436355,,,,4.0,40344.0,9.9147335E-5
g0dsCookie,cookie-monster,0.17,5,40344,1.2393417E-4,3902500,663000,0.16989109,,,,5.0,40344.0,1.2393417E-4
openhab,openhab2-addons,0.16,1,40344,2.4786834E-5,4083500,663000,0.16236071,,,,1.0,40344.0,2.4786834E-5
kartoza,django-bims,0.15,,,,4465000,663000,0.14848824,,,,,,
bndtools,bnd,0.15,,,,4481000,663000,0.14795804,,,,,,
zowe,zlux-editor,0.15,3,40344,7.43605E-5,4482000,663000,0.14792503,,,,3.0,40344.0,7.43605E-5
heim-rs,heim,0.15,16,40344,3.9658934E-4,4473000,663000,0.14822267,,,,16.0,40344.0,3.9658934E-4
google,fonts,0.15,7,40344,1.7350783E-4,4578000,663000,0.14482306,23000,0,0.0,3.5,40344.0,8.675391E-5
vsls-contrib,chat,0.15,,,,4523000,663000,0.14658412,,,,,,
Nexters,team-builder-server,0.15,2,40344,4.9573668E-5,4537000,663000,0.1461318,278000,0,0.0,2.0,40344.0,4.9573668E-5
ConvLab,ConvLab,0.15,3,40344,7.43605E-5,4491000,663000,0.14762859,10000,0,0.0,3.0,40344.0,7.43605E-5
hyperledger,burrow,0.15,,,,4481333.5,663000,0.14794704,,,,,,
Jeon-heaji,Task,0.15,,,,4548000,663000,0.14577836,,,,,,
jimmejardine,qiqqa-open-source,0.15,,,,4294375,663000,0.15438801,,,,,,
silverstripe,silverstripe-cms,0.15,,,,4571000,663000,0.14504485,,,,,,
usmanr149,Dockerize_ParkingServiceApp,0.15,,,,4571000,663000,0.14504485,,,,,,
AnyBlok,AnyBlok,0.15,,,,4569000,663000,0.14510834,,,,,,
Snapstromegon,TH-SS19-WD-Projekt,0.15,,,,4552000,663000,0.14565027,,,,,,
autotester-one,integration-tests-62671,0.15,,,,4550000,663000,0.14571428,,,,,,
vakzz,sample,0.15,,,,4547000,663000,0.14581043,,,,,,
CodeChefVIT,common-entry-test,0.15,,,,4543000,663000,0.14593881,,,,,,
amineKouraichi,github-slideshow,0.15,,,,4540000,663000,0.14603524,,,,,,
alexa,avs-device-sdk,0.15,,,,4538000,663000,0.1460996,,,,,,
brichard19,BitCrack,0.15,,,,4530000,663000,0.14635761,,,,,,
ymcui,Chinese-BERT-wwm,0.15,,,,4527000,663000,0.1464546,,,,,,
mido,mido,0.15,,,,4527000,663000,0.1464546,,,,,,
cloudflare,worker-examples,0.15,,,,4509000,663000,0.14703925,,,,,,
arjunbalussery,gateway,0.15,,,,4502000,663000,0.14726788,,,,,,
KosenkovRuslan,Learn_JS,0.15,,,,4490000,663000,0.14766148,,,,,,
AndyJennifer,NestedScrollingDemo,0.15,,,,4473000,663000,0.14822267,,,,,,
Chem4Word,Version3,0.15,,,,4472000,663000,0.14825581,,,,,,
akeneo,pim-community-dev,0.14,25,40344,6.1967084E-4,4763000,663000,0.13919799,5000,0,0.0,4.1666665,40344.0,1.0327847E-4
lasircc,las,0.14,4,40344,9.9147335E-5,4828000,663000,0.13732395,,,,2.0,40344.0,4.9573668E-5
bob-crutchley,notes,0.14,41,40344,0.0010162601,4914333.5,663000,0.13491148,334000,0,0.0,20.5,40344.0,5.0813006E-4
Adyen,adyen-3ds2-android,0.14,1,40344,2.4786834E-5,4640000,663000,0.14288794,,,,1.0,40344.0,2.4786834E-5
manticoresoftware,manticoresearch,0.14,1,40344,2.4786834E-5,4773000,663000,0.13890634,,,,1.0,40344.0,2.4786834E-5
puppetlabs,TA-puppet-report-viewer,0.14,,,,4704000,663000,0.14094388,,,,,,
gdsbook,geographic-data-science,0.14,1,40344,2.4786834E-5,4899000,663000,0.13533375,,,,1.0,40344.0,2.4786834E-5
dfinke,ImportExcel,0.14,,,,4727000,663000,0.14025809,,,,,,
microsoft,azure-devops-python-api,0.14,,,,4630000,663000,0.14319654,,,,,,
openshift,sriov-network-operator,0.14,3,40344,7.43605E-5,4623000,663000,0.14341336,,,,3.0,40344.0,7.43605E-5
joesingo,tom_education,0.14,5,40344,1.2393417E-4,4755000,663000,0.13943218,,,,5.0,40344.0,1.2393417E-4
CelestiaProject,Celestia,0.14,5,40344,1.2393417E-4,4750000,663000,0.13957895,59167000,0,0.0,5.0,40344.0,1.2393417E-4
chronoDave,Doombox,0.14,1,40344,2.4786834E-5,4710000,663000,0.14076433,,,,1.0,40344.0,2.4786834E-5
rodrigodzf,Jack-Audio-For-Unity,0.14,1,40344,2.4786834E-5,4714000,663000,0.1406449,,,,1.0,40344.0,2.4786834E-5
naxadeve,changutouristapp,0.14,2,40344,4.9573668E-5,4671000,663000,0.14193963,43000,0,0.0,2.0,40344.0,4.9573668E-5
evercam,evercam-server,0.14,1,40344,2.4786834E-5,4611000,663000,0.1437866,,,,1.0,40344.0,2.4786834E-5
pratapkumarraju312,Api_doc,0.14,,,,4700500,663000,0.14104882,,,,,,
geocollections,geokirjandus,0.14,2,40344,4.9573668E-5,4654000,663000,0.1424581,,,,2.0,40344.0,4.9573668E-5
HEPPanoramic,lhc-panoramas,0.14,1,40344,2.4786834E-5,4777333.5,663000,0.13878036,245000,0,0.0,1.0,40344.0,2.4786834E-5
artemanufrij,trimdown,0.14,,,,4812000,663000,0.13778055,,,,,,
skafos,parago-cli,0.14,,,,4897000,663000,0.13538902,,,,,,
justinfrankel,licecap,0.14,,,,4897000,663000,0.13538902,,,,,,
foundersandcoders,mc-request-module-workshop,0.14,,,,4673000,663000,0.14187887,,,,,,
vigetlabs,blendid,0.14,,,,4891000,663000,0.1355551,,,,,,
sg16-unicode,sg16,0.14,,,,4880000,663000,0.13586065,,,,,,
HsinYingLee,MDMM,0.14,,,,4865000,663000,0.13627955,,,,,,
CROSSINGTUD,CryptSL,0.14,,,,4852000,663000,0.13664468,,,,,,
VirtualFlyBrain,VFB_owl,0.14,,,,4842000,663000,0.13692689,,,,,,
ioBroker,ioBroker.hm-rpc,0.14,,,,4831000,663000,0.13723867,,,,,,
sanctuary-js,sanctuary,0.14,,,,4825000,663000,0.13740933,,,,,,
graphql,express-graphql,0.14,,,,4824000,663000,0.1374378,,,,,,
iissnan,hexo-theme-next,0.14,,,,4791000,663000,0.13838448,,,,,,
lab19digital,ecommerce-server,0.14,,,,4779000,663000,0.13873196,,,,,,
randy3k,Terminus,0.14,,,,4779000,663000,0.13873196,,,,,,
petronny,gfwlist2pac,0.14,,,,4778000,663000,0.13876098,,,,,,
b-m-f,freelytics,0.14,,,,4774000,663000,0.13887726,,,,,,
evercam,evercam-devops,0.14,,,,4725000,663000,0.14031745,,,,,,
vifm,vifm,0.14,,,,4717000,663000,0.14055544,,,,,,
chingu-voyages,voyage-prework-tier3-journal-app,0.14,,,,4714000,663000,0.1406449,,,,,,
BensonHsu,SBrick-Framework,0.14,,,,4711000,663000,0.14073445,,,,,,
0918nobita,git-workshop,0.14,,,,4709000,663000,0.14079422,,,,,,
poteto,ember-changeset,0.14,,,,4703000,663000,0.14097385,,,,,,
Giffjeab,github-upload,0.14,,,,4700000,663000,0.14106382,,,,,,
mockingbot,react-native-zip-archive,0.14,,,,4655000,663000,0.1424275,,,,,,
Anaconda-Platform,anaconda-project,0.14,,,,4652000,663000,0.14251934,,,,,,
NiaOrg,NiaPy,0.14,,,,4638000,663000,0.14294955,,,,,,
runk,schema-casting,0.14,,,,4636000,663000,0.14301121,,,,,,
autotester-one,integration-tests-21395,0.14,,,,4625666.5,663000,0.1433307,,,,,,
gahfy,learnthai2,0.14,,,,4620000,663000,0.1435065,,,,,,
SVF-tools,SVF,0.14,,,,4615000,663000,0.14366198,,,,,,
bkerler,MR,0.14,,,,4609000,663000,0.14384899,,,,,,
hackiftekhar,IQMediaPickerController,0.14,,,,4608000,663000,0.1438802,,,,,,
bailuk,AAT,0.14,,,,4592000,663000,0.14438154,,,,,,
namisan,mt-dnn,0.14,,,,4589000,663000,0.14447592,,,,,,
tonybaloney,wily,0.14,,,,4581000,663000,0.14472823,,,,,,
zijinjun,zijinjun.github.io,0.13,11,40344,2.7265516E-4,5119800,663000,0.12949724,,,,11.0,40344.0,2.7265516E-4
coala,community,0.13,,,,5213000,663000,0.12718205,,,,,,
JULIELab,trec-pm,0.13,7,40344,1.7350783E-4,5189000,663000,0.12777029,266000,0,0.0,3.5,40344.0,8.675391E-5
inveniosoftware,invenio-records-rest,0.13,3,40344,7.43605E-5,5211000,663000,0.12723085,42668500,0,0.0,3.0,40344.0,7.43605E-5
nhsconnect,gpconnect,0.13,3,40344,7.43605E-5,5292500,663000,0.1252716,,,,1.0,40344.0,2.4786834E-5
leongersen,noUiSlider,0.13,,,,5255000,663000,0.12616555,,,,,,
alphagov,gsp,0.13,7,40344,1.7350783E-4,5020500,663000,0.13205856,71444000,0,0.0,2.3333333,40344.0,5.7835943E-5
radare,radare2,0.13,1,40344,2.4786834E-5,5265000,663000,0.12592593,11000,0,0.0,1.0,40344.0,2.4786834E-5
w3c,web-nfc,0.13,5,40344,1.2393417E-4,5047000,663000,0.13136517,7666.6665,0,0.0,5.0,40344.0,1.2393417E-4
devopsfaith,krakend-ce,0.13,1,40344,2.4786834E-5,5281000,663000,0.1255444,399000,0,0.0,1.0,40344.0,2.4786834E-5
Chalarangelo,mini.css,0.13,,,,5150000,663000,0.12873787,,,,,,
blueriver,MuraCMS,0.13,4,40344,9.9147335E-5,5028500,663000,0.13184847,13500,0,0.0,2.0,40344.0,4.9573668E-5
violentmonkey,violentmonkey,0.13,2,40344,4.9573668E-5,5113000,663000,0.12966947,,,,2.0,40344.0,4.9573668E-5
OneArmyWorld,onearmy,0.13,,,,5221666.5,663000,0.12697096,,,,,,
latifaabdullayeva,AutonomousSystemThesis,0.13,4,40344,9.9147335E-5,5280500,663000,0.12555629,,,,4.0,40344.0,9.9147335E-5
ntobis,federated-machine-learning,0.13,11,40344,2.7265516E-4,4962000,663000,0.13361548,,,,11.0,40344.0,2.7265516E-4
mubaidr,image-parsing,0.13,4,40344,9.9147335E-5,5301000,663000,0.12507074,,,,4.0,40344.0,9.9147335E-5
rust-lang,rust-bindgen,0.13,,,,5077000,663000,0.13058893,,,,,,
kedacore,keda,0.13,,,,5073000,663000,0.1306919,,,,,,
JuliaOpt,KNITRO.jl,0.13,3,40344,7.43605E-5,5157000,663000,0.12856312,,,,3.0,40344.0,7.43605E-5
NVIDIA,DALI,0.13,2,40344,4.9573668E-5,5129000,663000,0.12926497,,,,2.0,40344.0,4.9573668E-5
louisnguyen12,arcade-wallet,0.13,1,40344,2.4786834E-5,5299000,663000,0.12511794,,,,1.0,40344.0,2.4786834E-5
fadeomar,Express-seartiong-movies,0.13,2,40344,4.9573668E-5,5083000,663000,0.13043478,1259000,0,0.0,2.0,40344.0,4.9573668E-5
imodeljs,imodeljs,0.13,,,,4956000,663000,0.13377725,,,,,,
luckyrose89,Journal-App,0.13,1,40344,2.4786834E-5,5118416.5,663000,0.12953225,,,,1.0,40344.0,2.4786834E-5
web-dave,angular-pwa,0.13,,,,5207000,663000,0.12732859,,,,,,
qooxdoo,qxl.apiviewer,0.13,,,,5218000,663000,0.12706017,,,,,,
SlimeKnights,TinkersConstruct,0.13,,,,5303000,663000,0.12502357,,,,,,
ilyamaclean,microclima,0.13,,,,5303000,663000,0.12502357,,,,,,
benedekfazekas,mranderson,0.13,,,,5302000,663000,0.12504715,,,,,,
akshaykumar90,savory,0.13,,,,5164800,663000,0.12836896,,,,,,
OphidiaBigData,ophidia-io-server,0.13,1,40344,2.4786834E-5,5298000,663000,0.12514156,,,,1.0,40344.0,2.4786834E-5
ilaplace,github-pages-with-jekyll,0.13,,,,5286000,663000,0.12542565,,,,,,
JuliaPOMDP,RLInterface.jl,0.13,,,,5273000,663000,0.12573488,,,,,,
catchorg,Catch2,0.13,1,40344,2.4786834E-5,5260000,663000,0.12604563,,,,1.0,40344.0,2.4786834E-5
EUDAT-B2SHARE,b2share,0.13,,,,5247000,663000,0.12635791,,,,,,
autotester-one,integration-tests-99355,0.13,,,,5228000,663000,0.12681714,,,,,,
LycheeOrg,Lychee,0.13,,,,5224000,663000,0.12691425,,,,,,
pre-commit,pre-commit,0.13,,,,5220000,663000,0.1270115,,,,,,
mrudulabomma,springbootAssignment_Mongodb,0.13,,,,5208000,663000,0.12730415,,,,,,
stevengj,nlopt,0.13,,,,5193000,663000,0.12767187,,,,,,
acorg,dark-matter,0.13,,,,5188000,663000,0.1277949,,,,,,
DmitriyLutsenko,training_git,0.13,,,,5185000,663000,0.12786885,,,,,,
arcus-azure,arcus.messaging,0.13,,,,5165000,663000,0.12836398,,,,,,
mgruhler,soem,0.13,,,,5154000,663000,0.12863795,,,,,,
flack,openpsa,0.13,,,,5129000,663000,0.12926497,,,,,,
MscrmTools,XrmToolBox,0.13,,,,5103000,663000,0.12992357,,,,,,
turanmahmudov,Instagraph,0.13,,,,5097000,663000,0.13007651,,,,,,
proyecto26,react-native-inappbrowser,0.13,,,,5095000,663000,0.13012758,,,,,,
Joshuaalbert,thesis,0.13,,,,5083000,663000,0.13043478,,,,,,
huandu,go-sqlbuilder,0.13,,,,5074000,663000,0.13066614,,,,,,
fkie-cad,FACT_core,0.13,,,,5069000,663000,0.13079503,,,,,,
widoz,wordpress-model,0.13,,,,5067000,663000,0.13084665,,,,,,
avishayil,react-native-restart,0.13,,,,5065000,663000,0.13089833,,,,,,
learn-co-curriculum,dsc-probability-distributions-recap,0.13,,,,5058000,663000,0.13107948,,,,,,
a-slide,pycoQC,0.13,,,,5040000,663000,0.13154761,,,,,,
MicrosoftDocs,visualfsharpdocs,0.13,,,,5039000,663000,0.13157372,,,,,,
scouter-project,scouter,0.13,,,,5039000,663000,0.13157372,,,,,,
microservices-aspnetcore,es-reality,0.13,,,,5038000,663000,0.13159984,,,,,,
moodleuulm,moodle-local_boostnavigation,0.13,,,,5016000,663000,0.13217704,,,,,,
EMRResearch,ExtremeValueMachine,0.13,,,,4992000,663000,0.1328125,,,,,,
MCUdude,MiniCore,0.13,,,,4978000,663000,0.13318601,,,,,,
Photon-GitHub,AACAdditionPro,0.13,,,,4975000,663000,0.13326633,,,,,,
scottsweb,wp-instagram-widget,0.13,,,,4974000,663000,0.13329312,,,,,,
SinisterSpatula,Gpi2,0.13,,,,4966000,663000,0.13350785,,,,,,
The-Fireplace-Minecraft-Mods,TickDynamic,0.13,,,,4962000,663000,0.13361548,,,,,,
jsvine,waybackpack,0.13,,,,4958000,663000,0.13372327,,,,,,
luoxiao,AlipaySDK,0.13,,,,4918000,663000,0.1348109,,,,,,
pgbackrest,pgbackrest,0.12,5,40344,1.2393417E-4,5485000,663000,0.12087511,,,,5.0,40344.0,1.2393417E-4
tfoxy,graphene-django-optimizer,0.12,4,40344,9.9147335E-5,5675000,663000,0.116828196,1989000,0,0.0,4.0,40344.0,9.9147335E-5
PumasAI,Pumas.jl,0.12,12,40344,2.97442E-4,5608000,663000,0.118223965,,,,6.0,40344.0,1.48721E-4
Kodeworks,liquidator-frontend,0.12,12,40344,2.97442E-4,5520000,663000,0.120108694,72563000,0,0.0,12.0,40344.0,2.97442E-4
eclipse-cyclonedds,cyclonedds,0.12,,,,5600000,663000,0.118392855,,,,,,
buildbot,buildbot,0.12,3,40344,7.43605E-5,5628000,663000,0.117803834,21110000,0,0.0,3.0,40344.0,7.43605E-5
medic,medic,0.12,5,40344,1.2393417E-4,5596000,663000,0.118477486,2243000,0,0.0,2.5,40344.0,6.196708E-5
btccom,btcpool,0.12,4,40344,9.9147335E-5,5408000,663000,0.12259615,,,,4.0,40344.0,9.9147335E-5
heyui,heyui,0.12,2,40344,4.9573668E-5,5385000,663000,0.12311978,,,,2.0,40344.0,4.9573668E-5
Citadel-Station-13,Citadel-Station-13,0.12,13,40344,3.2222882E-4,5421000,663000,0.12230216,,,,6.5,40344.0,1.6111441E-4
linux-test-project,ltp,0.12,2,40344,4.9573668E-5,5575000,663000,0.11892377,,,,1.0,40344.0,2.4786834E-5
elastic,ml-cpp,0.12,6,40344,1.48721E-4,5341000,663000,0.124134056,7576000,0,0.0,3.0,40344.0,7.43605E-5
INM-6,python-odmltables,0.12,4,40344,9.9147335E-5,5361000,663000,0.12367096,267750,0,0.0,4.0,40344.0,9.9147335E-5
siddhi-io,siddhi-operator,0.12,1,40344,2.4786834E-5,5563000,663000,0.1191803,796000,0,0.0,1.0,40344.0,2.4786834E-5
IgniteUI,igniteui-angular-samples,0.12,2,40344,4.9573668E-5,5471000,663000,0.12118442,,,,2.0,40344.0,4.9573668E-5
donwa,oneindex,0.12,,,,5497000,663000,0.12061124,,,,,,
ConnectedHumber,Air-Quality-Web,0.12,3,40344,7.43605E-5,5459500,663000,0.121439695,,,,3.0,40344.0,7.43605E-5
Borber,BORBER.github.io,0.12,16,40344,3.9658934E-4,5675000,663000,0.116828196,,,,16.0,40344.0,3.9658934E-4
nhattruong1,Week3_RN3-5,0.12,1,40344,2.4786834E-5,5656000,663000,0.11722065,,,,1.0,40344.0,2.4786834E-5
serilog,serilog-sinks-console,0.12,1,40344,2.4786834E-5,5586000,663000,0.11868958,,,,1.0,40344.0,2.4786834E-5
Kishanjvaghela,react-native-cardview,0.12,2,40344,4.9573668E-5,5720000,663000,0.11590909,,,,2.0,40344.0,4.9573668E-5
bingochen87,blog,0.12,17,40344,4.2137617E-4,5439000,663000,0.12189741,,,,17.0,40344.0,4.2137617E-4
zeit,hyper,0.12,,,,5625000,663000,0.117866665,,,,,,
derailed,k9s,0.12,,,,5534000,663000,0.119804844,,,,,,
kyyberi,100daysofDX,0.12,3,40344,7.43605E-5,5356000,663000,0.123786405,7000,0,0.0,3.0,40344.0,7.43605E-5
ReactiveX,RxJava,0.12,2,40344,4.9573668E-5,5452000,663000,0.12160675,,,,2.0,40344.0,4.9573668E-5
chuan-yun,Molten,0.12,,,,5343000,663000,0.124087594,,,,,,
taojintianxia,taojintianxia.github.io,0.12,2,40344,4.9573668E-5,5588000,663000,0.1186471,,,,2.0,40344.0,4.9573668E-5
radondb,xenon,0.12,,,,5681000,663000,0.11670481,,,,,,
cb-flts,flts,0.12,1,40344,2.4786834E-5,5337000,663000,0.12422709,,,,1.0,40344.0,2.4786834E-5
pmarkee,void-conquerors,0.12,5,40344,1.2393417E-4,5752166.5,663000,0.115260914,47000,0,0.0,5.0,40344.0,1.2393417E-4
quartznet,quartznet,0.12,1,40344,2.4786834E-5,5660000,663000,0.11713781,,,,1.0,40344.0,2.4786834E-5
microsoft,WinAppDriver,0.12,,,,5326000,663000,0.12448367,,,,,,
apache,incubator-weex-site,0.12,,,,5563000,663000,0.1191803,,,,,,
shanghongshen001,shanghongshen001.github.io,0.12,,,,5637333.5,663000,0.1176088,,,,,,
davideryu2019,assessment,0.12,2,40344,4.9573668E-5,5624000,663000,0.11788762,,,,2.0,40344.0,4.9573668E-5
cekit,cekit,0.12,1,40344,2.4786834E-5,5635000,663000,0.1176575,2915000,0,0.0,1.0,40344.0,2.4786834E-5
advanced-rest-client,arc-electron,0.12,,,,5602500,663000,0.11834003,,,,,,
tuanldVGU,json-editor,0.12,1,40344,2.4786834E-5,5705000,663000,0.11621385,10000,0,0.0,1.0,40344.0,2.4786834E-5
Daikenan,ASRCF,0.12,,,,5756000,663000,0.11518416,,,,,,
pixielabs,devise-recognisable,0.12,,,,5639000,663000,0.117574036,,,,,,
thewca,worldcubeassociation.org,0.12,,,,5693000,663000,0.11645881,,,,,,
BCCHR-IT,custom-report-builder,0.12,,,,5690000,663000,0.11652021,,,,,,
mishak87,open-no-binaries,0.12,,,,5672000,663000,0.11688998,,,,,,
Quick,Quick,0.12,,,,5671000,663000,0.1169106,,,,,,
prjseal,SlackBotMessages,0.12,,,,5664000,663000,0.11705509,,,,,,
coopermaruyama,react-web3,0.12,,,,5650000,663000,0.11734513,,,,,,
friendsofagape,autographa-lite,0.12,,,,5629000,663000,0.11778291,,,,,,
andras-szabo,puzzleSlicer,0.12,,,,5624000,663000,0.11788762,,,,,,
mojira,arisa-js,0.12,,,,5622000,663000,0.11792956,,,,,,
Realityloop,drupal_jsonapi_entities,0.12,,,,5620000,663000,0.11797153,,,,,,
lithnet,ad-password-protection,0.12,,,,5620000,663000,0.11797153,,,,,,
5j9,wikitextparser,0.12,,,,5603000,663000,0.118329465,,,,,,
graphql-editor,graphql-zeus,0.12,,,,5603000,663000,0.118329465,,,,,,
peacechen,react-native-modal-selector,0.12,,,,5597000,663000,0.11845632,,,,,,
rustindia,mpw-rs,0.12,,,,5590000,663000,0.11860465,,,,,,
trivago,Heimdallr.swift,0.12,,,,5581000,663000,0.11879592,,,,,,
alibaba,beidou,0.12,,,,5572000,663000,0.1189878,,,,,,
facebook,react-devtools,0.12,,,,5561000,663000,0.11922316,,,,,,
heptaluan,gitalk,0.12,,,,5552000,663000,0.11941642,,,,,,
jmschrei,pomegranate,0.12,,,,5542000,663000,0.1196319,,,,,,
zouzg,mybatis-generator-gui,0.12,,,,5538000,663000,0.11971831,,,,,,
doyoubi,undermoon,0.12,,,,5530000,663000,0.1198915,,,,,,
625781186,gitpyman,0.12,,,,5528000,663000,0.11993488,,,,,,
awslabs,aws-js-s3-explorer,0.12,,,,5515000,663000,0.12021759,,,,,,
lumigo,SAR-Lambda-Janitor,0.12,,,,5514000,663000,0.12023939,,,,,,
autotester-one,integration-tests-84782,0.12,,,,5489666.5,663000,0.12077236,,,,,,
NotGoodEnough,freecodecamp-Front-End-Libraries-Projects-Build-a-Random-Quote-Machine,0.12,,,,5375363.5,663000,0.123340495,,,,,,
openai,retro,0.12,,,,5471000,663000,0.12118442,,,,,,
plotly,falcon,0.12,,,,5463000,663000,0.12136189,,,,,,
amzn,amazon-pay-sdk-php,0.12,,,,5462000,663000,0.12138411,,,,,,
yaroslavche,phptdlib,0.12,,,,5462000,663000,0.12138411,,,,,,
libretro,blueMSX-libretro,0.12,,,,5443000,663000,0.12180783,,,,,,
golang,dep,0.12,,,,5439000,663000,0.12189741,,,,,,
nuxt,create-nuxt-app,0.12,,,,5433000,663000,0.122032024,,,,,,
themebeans,ava,0.12,,,,5433000,663000,0.122032024,,,,,,
material-components,material-components-web-react,0.12,,,,5425000,663000,0.122211985,,,,,,
PHPirates,SolArduino,0.12,,,,5385000,663000,0.12311978,,,,,,
autotester-one,integration-tests-33675,0.12,,,,5413000,663000,0.12248291,,,,,,
e-oj,Magic-Grid,0.12,,,,5411000,663000,0.12252818,,,,,,
praeclarum,FuGetGallery,0.12,,,,5409000,663000,0.12257349,,,,,,
DevYeom,YYCalendar,0.12,,,,5394000,663000,0.12291435,,,,,,
ukdtom,ExportTools.bundle,0.12,,,,5393000,663000,0.12293714,,,,,,
JavaNoober,BackgroundLibrary,0.12,,,,5364000,663000,0.12360179,,,,,,
Gourds,jms-assets-import,0.12,,,,5354000,663000,0.12383265,,,,,,
pinguo-zhouwei,MZBannerView,0.12,,,,5347000,663000,0.12399476,,,,,,
AAChartModel,AAChartKit-Swift,0.12,,,,5343000,663000,0.124087594,,,,,,
auth0,passport-wsfed-saml2,0.12,,,,5341000,663000,0.124134056,,,,,,
aksnzhy,xlearn,0.12,,,,5325000,663000,0.12450704,,,,,,
vuejs,babel-preset-vue,0.12,,,,5318000,663000,0.12467093,,,,,,
Boomem,geetest,0.12,,,,5307000,663000,0.12492934,,,,,,
chuan12,shenzhouzd,0.11,2261,40344,0.05604303,,,,,,,2261.0,40344.0,0.05604303
loomnetwork,loomchain,0.11,20,40344,4.9573666E-4,6059000,663000,0.109423995,,,,2.857143,40344.0,7.081952E-5
Smile-SA,elasticsuite,0.11,,,,6045000,663000,0.10967742,,,,,,
HB2018WFY,HB2018WFY.github.io,0.11,18,40344,4.46163E-4,6103000,663000,0.1086351,,,,18.0,40344.0,4.46163E-4
cernanalysispreservation,analysispreservation.cern.ch,0.11,,,,6268333.5,663000,0.10576974,,,,,,
raiden-network,scenario-player,0.11,25,40344,6.1967084E-4,6330000,663000,0.10473934,2562250,0,0.0,8.333333,40344.0,2.0655694E-4
almaty-attractor-js-first,esdp_js_01,0.11,3,40344,7.43605E-5,6126000,663000,0.10822723,,,,1.0,40344.0,2.4786834E-5
Rdatatable,data.table,0.11,2,40344,4.9573668E-5,6190000,663000,0.10710824,,,,1.0,40344.0,2.4786834E-5
PopulateTools,gobierto,0.11,11,40344,2.7265516E-4,5814000,663000,0.114035085,,,,3.6666667,40344.0,9.0885056E-5
openSUSE,software-o-o,0.11,5,40344,1.2393417E-4,6253000,663000,0.10602911,,,,5.0,40344.0,1.2393417E-4
springauth,canalmate,0.11,,,,5860000,663000,0.113139935,,,,,,
commons-app,apps-android-commons,0.11,1,40344,2.4786834E-5,5779833.5,663000,0.11470919,,,,1.0,40344.0,2.4786834E-5
RudolfCardinal,camcops,0.11,8,40344,1.9829467E-4,6078000,663000,0.10908193,,,,8.0,40344.0,1.9829467E-4
ForkIssues,Tracker,0.11,,,,6246000,663000,0.10614794,,,,,,
kleros,kleros-interaction,0.11,,,,6030000,663000,0.10995025,,,,,,
sdpython,cpyquickhelper,0.11,2,40344,4.9573668E-5,5799000,663000,0.11433005,,,,2.0,40344.0,4.9573668E-5
ngx-builders,netlify-builder,0.11,7,40344,1.7350783E-4,6309000,663000,0.10508797,49500,0,0.0,3.5,40344.0,8.675391E-5
dahall,Vanara,0.11,2,40344,4.9573668E-5,5973000,663000,0.110999495,,,,2.0,40344.0,4.9573668E-5
ElucidataInc,ElMaven,0.11,4,40344,9.9147335E-5,6178000,663000,0.107316285,,,,2.0,40344.0,4.9573668E-5
